food_id,Recipe Name,Ingredients
104,Kale Salad with Lemon Dressing,"kale, lemon juice, garlic, olive oil, salt, pepper"
105,Tzatziki Chicken Wraps,"chicken breast, tzatziki sauce, cucumber, lettuce, pita"
106,Spinach and Cheese Quesadilla,"spinach, cheese, tortillas, garlic"
107,Cheddar and Broccoli Soup,"broccoli, cheddar cheese, cream, onion, garlic"
108,Coconut Curry Rice,"rice, coconut milk, curry powder, vegetables"
109,Shrimp Tacos,"shrimp, tortillas, cabbage, avocado, lime"
110,Caprese Pasta with Tuna,"pasta, tomatoes, mozzarella, canned tuna, basil"
111,Mediterranean Quinoa Salad,"quinoa, cucumber, feta cheese, olives, tomatoes"
112,Tuna and Rice Casserole,"canned tuna, rice, cream of mushroom soup, cheese"
113,Chicken Lettuce Wraps,"ground chicken, lettuce, chestnuts, soy sauce, green onions"
114,Ginger Garlic Shrimp,"shrimp, ginger, garlic, soy sauce, green onions"
115,Zucchini Noodles with Pesto,"zucchini, basil pesto, cherry tomatoes, Parmesan"
116,Vegetarian Lentil Soup,"lentils, carrots, celery, onion, vegetable broth"
117,Baked Salmon with Garlic,"salmon fillets, garlic, olive oil, lemon, herbs"
118,Gnocchi with Tomato Sauce,"gnocchi, tomato sauce, basil, Parmesan cheese"
119,Cilantro Lime Rice,"rice, cilantro, lime juice, garlic, salt"
120,Balsamic Veggie Pasta,"pasta, mixed veggies, balsamic vinaigrette, cherry tomatoes"
